scientific_name,common_name,type_of_cancer,components,compound,part,region_found,reference,image,fda_approved_drug
Abelmoschus esculentus,Bhindi,"Breast cancer, hepatocellular carcinoma, cervical carcinoma","Carotene,flavonoid","Vitamins (B, C) , isoquercitrin ","Fruit, Seed","Uttar Pradesh, Bihar, West Bengal, Odisha, Assam, Andhra Pradesh and Karnataka.",https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Abelmoschus esculentus.jpeg,
Abrus precatorious,"Gunja, rosary pea, jequirity bean, or kundumani","Leukemia, Human small cell lung cancer",Protein,Abrin,Leaves,Throughout the plains of India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Abrus precatorious.jpeg,
Acacia catechu,"Cutch tree, Black catechu, Black cutch, Cashoo, Catechu,Wadalee gum",Esophagus cancer,Flavanol,"Catechins, Epicatechin","Bark, stem",Eastern slopes of the Western Ghats and the Himalayan tracts of India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Acacia catechu.jpeg,
Acanthus ilicifolius,"Holly-leaved acanthus, sea holly, and holy mangrove, Hargoza","Lung fibroblast cells, ascites tumor","Triterpenoid , phytosterol","Betulinic acid, Taraxerol, β-Sitosterol, Stigmasterol","Leaves, root, and flower part","Andhra Pradesh, Karnataka, Kerala, Odisha, Andaman and Nicobar Islands, and South Andaman, Goa",https://link.springer.com/book/10.1007/978-981-32-9147-8,Acanthus ilicifolius.jpeg,
Achillea wilhelmsii,"Common Yarrow, Biranjasipha, Gandana","Colon cancer, breast cancer","Flavonoids, monoterpene","Salvigenin, 1,8-cineole and ɑ-piene",Leaves,"Himalayan region of Jammu & Kashmir, Himachal Pradesh, and Uttarakhand",https://doi.org/10.1177/2156587217696927,Achillea wilhelmsii.jpeg,
Achyranthes aspera,"Chaff-flower,Apamarga, Chirchita","Pancreas Cancer, Prostrate Cancer, Lung Cancer, and colon cancer","Alkaloid,Polysaccharide",Triterpenoid saponins,"Roots,Leaves extract","Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra",https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Achyranthes aspera.jpeg,
Acorus calamus,"Sweet flag,Vacha, Ugragandha, Gorbacc",Gastric cancer cells,Phenylpropanoid,"β-asarone, α- asarone, caryophyllene, eugenol",Rhizomes and leaves,"Himalayas, at altitudes of 100-2300 m and Western Ghats",https://doi.org/10.1007/978-981-13-7248-9,Acorus calamus.jpeg,
Acorus gramineus,"Dwarf sedge, Japanese rush, Grass-leaved sweetrush, Japanese sweet flag, Dwarf sweet flag",Esophageal cancer,Alkaloid,"Acoramol, Surinamensinol",Root,"Manipur, the Himalayas, Naga hills, and on the edges of lakes and streams",https://link.springer.com/book/10.1007/978-981-32-9147-8,Acorus gramineus.jpeg,
Adhatoda vasica,"Arusha, Vasaka, Malabar nut tree",Human lung carcinoma,"Alkaloid , phytosteerol","Bromhexine, Deoxyvasicinone, Peganine, Peganidine, Adhatodine, Daucosterol, Epitaxol","Leaves, root, and stem",Kerala,https://link.springer.com/book/10.1007/978-981-32-9147-8,Adhatoda vasica.jpeg,
Aegle marmelos,"Bael tree,Bengal quince, golden apple, Japanese bitter orange, stone apple, or wood apple","Human Lung Cancer and Breast Cancer, Pancreatic Adenocarcinoma, Human Epidermoid Carcinoma","Phenol ethers,pentacyclic triterpenoid","Marmelin,Lupeol",Hydrochloric leaf extracts,"Himalayan regions, Bengal, and Central and South India","https://journals.sagepub.com/doi/pdf/10.1177/1534735412451320#:~:text=With%20regard%20to%20antineoplastic%20activities,to%20be%20effective%20in%20selective",Aegle marmelos.jpeg,
